metric,comid,data_type,gageid,p50_obs,result_type,p50_pred,status_code,status,alteration_type,median_in_iqr,refgage
Peak_Fre_2,20247386,observed,10251330,1,predicted,2,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Fre_5,20247386,observed,10251330,1,predicted,1,1,likely_unaltered,none_found,TRUE,Non-Ref
DS_Dur_WS,22599679,observed,10254050,123,predicted,186.225,1,likely_unaltered,none_found,FALSE,Non-Ref
DS_Tim,22599679,observed,10254050,271,predicted,269.441666666667,1,likely_unaltered,none_found,TRUE,Non-Ref
DS_Mag_50,22599679,observed,10254050,0.8,predicted,16.546956887571,1,likely_unaltered,none_found,FALSE,Non-Ref
DS_Mag_90,22599679,observed,10254050,1.5,predicted,28.4433927273723,-1,likely_altered,low,FALSE,Non-Ref
FA_Dur,22599679,observed,10254050,4,predicted,5,1,likely_unaltered,none_found,TRUE,Non-Ref
FA_Mag,22599679,observed,10254050,3.420097420226523,predicted,305.845322305658,-1,likely_altered,low,FALSE,Non-Ref
FA_Tim,22599679,observed,10254050,11,predicted,38,1,likely_unaltered,none_found,FALSE,Non-Ref
SP_ROC,22599679,observed,10254050,0.0871212121212121,predicted,0.0759493670886077,1,likely_unaltered,none_found,TRUE,Non-Ref
SP_Dur,22599679,observed,10254050,60,predicted,119.229166666667,1,likely_unaltered,none_found,TRUE,Non-Ref
SP_Mag,22599679,observed,10254050,4,predicted,661.343546635626,-1,likely_altered,low,FALSE,Non-Ref
SP_Tim,22599679,observed,10254050,212,predicted,198.625,1,likely_unaltered,none_found,TRUE,Non-Ref
Wet_BFL_Dur,22599679,observed,10254050,175,predicted,153.229166666667,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Dur_10,22599679,observed,10254050,1,predicted,1,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Dur_2,22599679,observed,10254050,5,predicted,3,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Dur_5,22599679,observed,10254050,3,predicted,2,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Fre_10,22599679,observed,10254050,1,predicted,1,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Fre_2,22599679,observed,10254050,3,predicted,2,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Fre_5,22599679,observed,10254050,3,predicted,1,1,likely_unaltered,none_found,FALSE,Non-Ref
FA_Dur,22599625,observed,10254670,2,predicted,5,1,likely_unaltered,none_found,FALSE,Non-Ref
SP_ROC,22599625,observed,10254670,0.03284776948213303,predicted,0.0759493670886077,-1,likely_altered,low,FALSE,Non-Ref
Peak_Dur_10,22599625,observed,10254670,1,predicted,1,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Dur_2,22599625,observed,10254670,1.5,predicted,3,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Dur_5,22599625,observed,10254670,2,predicted,2,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Fre_10,22599625,observed,10254670,1,predicted,1,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Fre_2,22599625,observed,10254670,1,predicted,2,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Fre_5,22599625,observed,10254670,1,predicted,1,1,likely_unaltered,none_found,TRUE,Non-Ref
FA_Dur,22598685,observed,10254730,3,predicted,5,1,likely_unaltered,none_found,TRUE,Non-Ref
SP_ROC,22598685,observed,10254730,0.030719908361330157,predicted,0.0759493670886077,-1,likely_altered,low,FALSE,Non-Ref
Peak_Dur_10,22598685,observed,10254730,1,predicted,1,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Dur_2,22598685,observed,10254730,3,predicted,3,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Dur_5,22598685,observed,10254730,2,predicted,2,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Fre_10,22598685,observed,10254730,1,predicted,1,1,likely_unaltered,none_found,TRUE,Non-Ref
