stream_class,gage,stat,year,data,maxYr,minYr,YrRange
Class-8,11023310,Avg,1978,4.714657534246575,1989,1978,11
Class-8,11023325,Avg,1977,0.006109589041095892,1989,1977,12
Class-8,11046300,Avg,1953,2.203013698630137,2016,1953,63
Class-8,11046500,Avg,1951,0.24246575342465754,1962,1951,11
Class-8,11048553,Avg,2002,0.22775342465753423,2014,2002,12
Class-8,11058600,Avg,1951,0.6616438356164384,2016,1951,65
Class-8,11077000,Avg,1951,0.07397260273972603,1963,1951,12
Class-8,11084500,Avg,1951,0.3268493150684932,1979,1951,28
Class-8,11098000,Avg,1951,0.7504109589041097,2015,1951,64
Class-8,11100000,Avg,1951,0.603013698630137,1971,1951,20
Class-8,11120530,Avg,1971,0.5591780821917808,1991,1971,20
Class-8,11134800,Avg,1971,0.2379178082191781,1981,1971,10
Class-8,11257500,Avg,1951,90.41424657534246,1971,1951,20
Class-8,11258000,Avg,1951,125.02767123287673,1971,1951,20
Class-8,11259000,Avg,1951,138.23890410958904,1973,1951,22
Class-8,11284400,Avg,1970,8.339561643835616,2015,1970,45
Class-8,11299600,Avg,1984,13.385655737704917,2015,1984,31
Class-8,11334300,Avg,1958,98.9704109589041,1980,1958,22
Class-8,11374000,Avg,1951,711.3013698630137,1981,1951,30
Class-8,11379000,Avg,1951,136.9808219178082,1982,1951,31
Class-8,11451715,Avg,1998,170.60698412698412,2015,1998,17
Class-9,10360900,Avg,1961,12.46219178082192,1982,1961,21
Class-9,11355500,Avg,1969,162.66575342465754,1988,1969,19
